"YR","LC.IGBP.1","LC.IGBP.2","LC.UMD","LC.LAI","LC.NPP","LC.PFT"
2001,"CVM","CRO","CRO","GRA-CRO","AGV","C-CRO"
2002,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2003,"CRO","CVM","CRO","GRA-CRO","AGV","C-CRO"
2004,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2005,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2006,"CVM","CRO","CRO","B-CRO","ABV","B-CRO"
2007,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2008,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2009,"CRO","SAV","CRO","B-CRO","ABV","B-CRO"
