"YR","LC.IGBP.1","LC.IGBP.2","LC.UMD","LC.LAI","LC.NPP","LC.PFT"
2001,"CRO","CSH","CRO","GRA-CRO","AGV","C-CRO"
2002,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2003,"CRO","WSA","CRO","GRA-CRO","AGV","C-CRO"
2004,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2005,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2006,"CRO","GRA","CRO","B-CRO","ABV","B-CRO"
2007,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2008,"CRO","CRO","CRO","B-CRO","ABV","B-CRO"
2009,"CRO","CSH","CRO","B-CRO","ABV","B-CRO"
