"YR","DOY","bnd1.ref","bnd2.ref","bnd3.ref","bnd4.ref","bnd5.ref","bnd6.ref","bnd7.ref","LSWI1","LSWI2","NDVI","EVI"
2001,4,0.0586,0.1322,0.0287,0.0487,0.191,0.2005,0.138,-0.205290051097084,-0.0214655810510733,0.385744234800839,0.145047495171653
2001,12,0.0584,0.133,0.0295,0.0486,0.1911,0.201,0.1363,-0.203592814371257,-0.0122539918306721,0.389759665621735,0.147763736481401
2001,20,0.0639,0.151,0.0324,0.0536,0.1978,0.2052,0.1427,-0.152161706906233,0.0282601293837249,0.405304792926943,0.168615456094161
2001,28,0.0758,0.1714,0.0339,0.0569,0.223,0.2241,0.153,-0.133249051833123,0.0567200986436498,0.38673139158576,0.174204599292977
2001,36,0.0654,0.1443,0.034,0.0551,0.203,0.2139,0.1516,-0.194304857621441,-0.0246704967894559,0.376251788268956,0.153897167823984
2001,44,0.0564,NA,0.0304,0.0502,NA,0.1919,0.1216,NA,NA,NA,NA
2001,52,0.0534,0.16,0.0281,0.0498,0.2075,0.1929,0.1188,-0.0932275432133749,0.147776183644189,0.499531396438613,0.209900366242665
2001,60,0.0587,0.1691,0.0308,0.0554,0.2163,0.2038,0.1331,-0.0930544381871816,0.119126406353408,0.484635645302897,0.213903743315508
2001,68,0.0612,0.1953,0.032,0.0589,0.2362,0.2178,0.1452,-0.0544662309368192,0.147136563876652,0.52280701754386,0.253497164461248
2001,76,0.0632,0.177,0.0329,0.0574,0.2166,0.2122,0.1625,-0.0904419321685508,0.0427098674521355,0.473771856786012,0.21726679140097
2001,84,0.0648,0.1751,0.0338,0.0589,0.2147,0.2135,0.1673,-0.0988162635100361,0.0227803738317757,0.459774906210921,0.210431929181929
2001,92,0.0642,0.178,0.0335,0.0583,0.214,0.2062,0.1588,-0.0733992712129099,0.0570071258907364,0.469859620148637,0.21685277640154
2001,100,0.0673,0.166,0.0409,0.0634,0.2064,0.198,0.1484,-0.0879120879120879,0.0559796437659033,0.423060437205315,0.19536043703733
2001,108,0.0756,0.1583,0.0391,0.0598,0.2074,0.2202,0.1914,-0.163540290620872,-0.0946525593365743,0.353569901667379,0.156789140408751
2001,116,0.0726,0.1572,0.0374,0.0597,0.2172,0.2411,0.2224,-0.210645242279689,-0.171759747102213,0.368146214099217,0.161167415987198
2001,124,0.0804,0.1694,0.0418,0.0663,0.2314,0.2586,0.244,-0.208411214953271,-0.180454765360426,0.356285028022418,0.166255697526713
2001,132,0.084,0.1805,0.0445,0.0706,0.2483,0.265,0.2442,-0.189674523007856,-0.149988226983753,0.364839319470699,0.178604478993152
2001,140,0.085,0.2025,0.0486,0.0786,0.2547,0.2437,0.2029,-0.0923352756611385,-0.000986679822397592,0.408695652173913,0.217915430267062
2001,148,0.083,0.23,0.0487,0.0813,0.2644,0.2415,0.1833,-0.024390243902439,0.112992983305105,0.46964856230032,0.26967528893781
2001,156,0.0754,0.2641,0.0428,0.0776,0.2933,0.256,0.1808,0.0155739280907518,0.187233086086761,0.555817378497791,0.338050877821569
2001,164,0.0703,0.2785,0.04,0.0754,0.2986,0.2483,0.165,0.057327258921792,0.255918827508456,0.596903669724771,0.371706062986503
2001,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,180,0.0513,0.4303,0.0308,0.0686,0.3483,0.2099,0.0932,0.344267416432365,0.643935052531041,0.786960132890365,0.628690863247296
2001,188,0.0513,0.4302,0.0308,0.0686,0.3482,0.2098,0.0931,0.344375,0.644181158035544,0.786915887850467,0.628566688785667
2001,196,0.0496,0.4575,0.0289,0.0655,0.3611,0.1992,0.0786,0.39333028780265,0.706771124790151,0.804377834746598,0.662885559203042
2001,204,0.0485,0.4477,0.0277,0.0654,0.3592,0.1995,0.0776,0.383498145859085,0.704549781077479,0.804514308746473,0.651882817858193
2001,212,0.0486,0.4502,0.0286,0.067,0.3635,0.2043,0.0785,0.375706646294882,0.703045205220352,0.805132317562149,0.657369213644995
2001,220,0.0523,0.4389,0.0306,0.0699,0.3607,0.2046,0.0783,0.364102564102564,0.697215777262181,0.787052117263844,0.634519432773109
2001,228,0.0617,0.4177,0.0333,0.0755,0.3596,0.214,0.0885,0.322463194554377,0.650335835638088,0.742594910304547,0.57861716997692
2001,236,0.0846,0.3904,0.0404,0.0836,0.3634,0.2402,0.115,0.238185854741516,0.544914918876138,0.64378947368421,0.479310344827586
2001,244,0.107,0.3669,0.048,0.09,0.367,0.2598,0.1351,0.17089516515079,0.461752988047809,0.548427938383625,0.394050579173995
2001,252,0.1244,0.3552,0.0524,0.0925,0.3682,0.2704,0.1445,0.135549872122762,0.421652991795077,0.481234361968307,0.337703382886574
