"YR","DOY","bnd1.ref","bnd2.ref","bnd3.ref","bnd4.ref","bnd5.ref","bnd6.ref","bnd7.ref","LSWI1","LSWI2","NDVI","EVI"
2001,4,0.0503,0.2107,0.0253,0.0572,0.2326,0.2029,0.115,0.0188588007736944,0.293828676696346,0.61455938697318,0.303156303156303
2001,12,0.0526,0.2119,0.0245,0.0548,0.2358,0.2072,0.1188,0.0112145072774994,0.281524039915331,0.60226843100189,0.296372093023256
2001,20,0.0597,0.2137,0.0282,0.0592,0.2391,0.2187,0.1371,-0.011563367252544,0.218358038768529,0.563277249451353,0.283004998529844
2001,28,0.0547,0.2628,0.0256,0.0589,0.2727,0.227,0.132,0.0730910575745203,0.331306990881459,0.655433070866142,0.371872766261616
2001,36,0.0548,0.273,0.0258,0.068,0.2786,0.2244,0.1267,0.097708082026538,0.366024518388792,0.665649786455155,0.387346446069729
2001,44,0.0521,0.2752,0.0268,0.0623,0.2668,0.2016,0.1069,0.154362416107383,0.44046061240513,0.681637641307669,0.402184886068647
2001,52,0.0448,0.2955,0.019,0.0603,0.2731,0.189,0.0897,0.219814241486068,0.534267912772586,0.736702909197767,0.440814460542974
2001,60,0.045,0.3275,0.0217,0.0615,0.2966,0.2051,0.0978,0.229815996995869,0.540089348695039,0.758389261744967,0.492246035894755
2001,68,0.0443,0.3591,0.0219,0.0626,0.3141,0.2125,0.1008,0.256473058082575,0.561643835616438,0.780366881507189,0.538801218635539
2001,76,0.0404,0.375,0.0187,0.0606,0.3183,0.1951,0.0877,0.315558673916857,0.620920682947914,0.805488685604237,0.566293199742748
2001,84,0.0423,0.3501,0.0199,0.0613,0.3249,0.1812,0.0807,0.317899491812535,0.625348189415042,0.784403669724771,0.528993228611694
2001,92,0.0453,0.3616,0.0224,0.0652,0.324,0.1741,0.0846,0.350009333582229,0.620797848498431,0.777340869992627,0.539613757335881
2001,100,0.0549,0.3733,0.0303,0.0733,0.3085,0.1758,0.0791,0.359679475505372,0.650309460654288,0.743577767398412,0.539496424819547
2001,108,0.059,0.4079,0.0311,0.0741,0.3345,0.1862,0.0793,0.373169500084161,0.674466338259442,0.747269222531591,0.570601511137278
2001,116,0.0533,0.4369,0.0254,0.0728,0.3534,0.207,0.0906,0.357043019102345,0.656492890995261,0.782537739698082,0.612310049802069
2001,124,0.0624,0.4326,0.0312,0.0782,0.3635,0.2177,0.1005,0.330462863293864,0.622960045019696,0.747878787878788,0.58836617927527
2001,132,0.072,0.4262,0.0379,0.0836,0.3693,0.2253,0.1061,0.308365310821182,0.601352620702611,0.710959454034524,0.562597287080276
2001,140,0.0922,0.4264,0.0457,0.0944,0.3865,0.2435,0.1195,0.273025824749963,0.562190877450082,0.644427304280756,0.510431621712436
2001,148,0.1051,0.4278,0.0489,0.0985,0.3959,0.261,0.1338,0.242160278745645,0.523504273504274,0.605554513041846,0.476901250258623
2001,156,0.1113,0.4027,0.0489,0.0976,0.3823,0.2653,0.1396,0.205688622754491,0.485155817813019,0.56692607003891,0.427586206896552
2001,164,0.1132,0.3807,0.0516,0.0996,0.3699,0.2566,0.1367,0.194727757727915,0.471588712794743,0.541607612877101,0.399754916611872
2001,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,180,0.132,0.3713,0.0646,0.1123,0.3789,0.2869,0.1586,0.128228501975084,0.401396489903755,0.475461951122591,0.356355730283536
2001,188,0.1319,0.3712,0.0646,0.1122,0.3789,0.2869,0.1586,0.12809603403738,0.401283503208758,0.475650964023057,0.356504379953519
2001,196,0.1361,0.3941,0.0603,0.1129,0.4083,0.3118,0.1719,0.116588751947868,0.392579505300353,0.48660882685779,0.366800307088629
2001,204,0.1247,0.3845,0.0572,0.1063,0.4019,0.3038,0.1674,0.11724538718582,0.393368363834028,0.510212097407698,0.381229089628456
2001,212,0.1226,0.3821,0.0563,0.1046,0.4009,0.2977,0.1637,0.124154162989114,0.40014657383657,0.514166831781256,0.382641776519508
2001,220,0.1245,0.3762,0.0571,0.1045,0.3908,0.2943,0.1598,0.122147651006711,0.403731343283582,0.502696225284602,0.371249889377268
2001,228,0.1366,0.3709,0.06,0.1093,0.3942,0.3195,0.1743,0.074449594438007,0.360601614086574,0.461674876847291,0.336541223786268
2001,236,0.1385,0.3763,0.0601,0.1101,0.4173,0.3325,0.1829,0.0617945823927765,0.34585121602289,0.461926961926962,0.33844752497794
2001,244,0.1306,0.3781,0.059,0.1064,0.4112,0.3221,0.1763,0.0799771493858897,0.363997113997114,0.486534303125614,0.35990577012564
2001,252,0.1179,0.3661,0.0566,0.0994,0.3868,0.2966,0.1634,0.104874000301796,0.382813975448536,0.512809917355372,0.376288659793814
2001,260,0.1032,0.3468,0.0511,0.0894,0.3621,0.2742,0.1497,0.116908212560386,0.396978851963746,0.541333333333333,0.384773337545411
2001,268,0.0926,0.3006,0.0482,0.0808,0.3161,0.2395,0.1346,0.113127198666914,0.381433823529412,0.528992878942014,0.347895898842577
2001,276,0.0939,0.2775,0.0484,0.0817,0.3051,0.235,0.1336,0.0829268292682927,0.350036487472634,0.494345718901454,0.310575817037689
2001,284,0.1047,0.2865,0.0493,0.0847,0.3434,0.282,0.1637,0.00791556728232191,0.272767658818303,0.464723926380368,0.294184277808343
