"YR","DOY","NDVI","EVI","bnd3.ref","bnd7.ref","bnd2.ref","bnd1.ref","QC","LSWI2"
2001,15,6099,0.2981,0.0359,0.1554,0.1874,0.0454,0,0.0933488914819137
2001,31,7214,0.3718,0.0307,0.1102,0.2101,0.034,0,0.311895098345301
2001,38,7296,0.4599,0.038,0.1537,0.27,0.0422,0,0.274486665093226
2001,58,8770,0.6564,0.0227,0.0868,0.3831,0.0251,0,0.63055969355182
2001,72,8664,0.6759,0.0228,0.085,0.4136,0.0296,0,0.659045326915363
2001,90,8368,0.6871,0.0236,0.1185,0.4617,0.041,0,0.591520165460186
2001,99,8663,0.7608,0.0271,0.1176,0.4915,0.0352,0,0.613856509604334
2001,120,8176,0.6099,0.0247,0.1078,0.3907,0.0392,0,0.567502507522568
2001,141,5751,0.3085,0.0347,0.1599,0.2243,0.0605,0,0.16762103071317
2001,150,6167,0.3794,0.0261,0.1032,0.3088,0.0732,0,0.499029126213592
2001,161,4528,0.2833,0.0419,0.1293,0.3059,0.1152,0,0.405790441176471
2001,189,4591,0.2785,0.0371,0.0917,0.2976,0.1103,0,0.528898022090933
2001,200,4109,0.2706,0.0551,0.1497,0.3126,0.1305,0,0.352368591823491
2001,223,3823,0.2348,0.0423,0.1149,0.3093,0.1382,0,0.458274398868458
2001,229,4481,0.3233,0.0554,0.1544,0.3902,0.1487,0,0.432978332721263
2001,246,4500,0.2875,0.0437,0.1299,0.3167,0.1201,0,0.418271383788625
2001,268,4034,0.2256,0.0486,0.1466,0.2254,0.0958,0,0.211827956989247
2001,273,2889,0.1632,0.0657,0.2283,0.1985,0.1095,0,-0.0698219306466729
2001,294,3939,0.2434,0.0651,0.2,0.233,0.1013,0,0.0762124711316397
2001,307,2908,0.1933,0.0683,0.21,0.3184,0.1749,0,0.205147615442846
2001,326,4216,0.1819,0.0339,0.1478,0.1583,0.0644,0,0.0343025155178046
2001,344,3094,0.1119,0.0397,0.1519,0.1098,0.0579,0,-0.160871226595338
2001,3,5200,NA,NA,NA,NA,NA,NA,NA
2002,15,5420,0.257,0.0312,0.1169,0.1889,0.0561,0,0.235448005232178
2002,18,4549,0.198,0.0313,0.1413,0.1647,0.0617,0,0.0764705882352941
2002,40,3935,0.2075,0.0519,0.2043,0.1912,0.0832,0,-0.0331226295828066
2002,56,4594,0.2906,0.0554,0.2313,0.2665,0.0987,0,0.0707111289674568
2002,77,5018,0.2162,0.0296,0.1253,0.1643,0.0545,0,0.134668508287293
2002,88,5592,0.3566,0.0378,0.1901,0.3071,0.0868,0,0.235317779565567
2002,102,5156,0.3147,0.0449,0.1981,0.2666,0.0852,0,0.147406929201635
2002,123,4673,0.2639,0.0443,0.1932,0.2339,0.0849,0,0.0952938421915243
2002,144,5526,0.2904,0.0322,0.15,0.2232,0.0643,0,0.196141479099679
2002,148,5243,0.3372,0.0472,0.194,0.29,0.0905,0,0.198347107438017
2002,176,6345,0.3801,0.0328,0.0985,0.2728,0.061,0,0.469431726366819
2002,187,5967,0.3661,0.0408,0.1136,0.2681,0.0677,0,0.404768142520304
2002,205,5998,0.4075,0.0417,0.1209,0.3274,0.0819,0,0.460629043051528
2002,212,6045,0.3872,0.0431,0.1251,0.2836,0.0699,0,0.387815023244434
2002,237,5612,0.3884,0.0497,0.1489,0.3231,0.0908,0,0.369067796610169
2002,244,5296,0.3366,0.05,0.143,0.2719,0.0836,0,0.310677271631718
2002,258,5232,0.3479,0.0488,0.1327,0.308,0.0964,0,0.397776265032902
2002,288,4303,0.2908,0.0691,0.1612,0.2704,0.1077,0,0.253012048192771
2002,292,3889,0.2227,0.0534,0.1987,0.2266,0.0997,0,0.0656007524100635
2002,308,4018,0.246,0.0643,0.2116,0.2285,0.0975,0,0.0384003635537378
2002,329,3290,0.1509,0.0465,0.1971,0.1561,0.0788,0,-0.11608154020385
2002,338,2794,NA,NA,NA,NA,NA,NA,NA
2002,356,5455,0.2179,0.0284,0.1139,0.1476,0.0434,0,0.12887189292543
2003,5,4108,NA,NA,NA,NA,NA,NA,NA
2003,28,5903,NA,NA,NA,NA,NA,NA,NA
2003,35,5119,0.1959,0.0224,0.1208,0.1459,0.0471,0,0.0941132358455193
2003,64,5664,0.3301,0.0293,0.151,0.2771,0.0767,0,0.294557346414389
2003,67,6938,0.4169,0.0228,0.1068,0.2932,0.053,0,0.466
2003,83,5885,0.2366,0.0245,0.1139,0.1548,0.0401,0,0.152214365463342
2003,101,3170,0.1362,0.0367,0.1893,0.1535,0.0796,0,-0.104434072345391
2003,117,3222,0.1474,0.0352,0.1747,0.1756,0.09,0,0.00256922637739076
2003,140,5616,0.2962,0.0261,0.1287,0.2376,0.0667,0,0.297297297297297
2003,147,6648,0.3817,0.0272,0.1084,0.2633,0.053,0,0.416733925208502
2003,176,7588,0.6374,0.0471,0.1384,0.4142,0.0568,0,0.499095186391603
2003,183,7841,0.6276,0.0408,0.1079,0.3909,0.0473,0,0.567361668003208
2003,201,6353,0.5467,0.0607,0.1285,0.4484,0.1,0,0.554515513953892
2003,215,5933,0.4224,0.0391,0.1013,0.3766,0.0961,0,0.576061937643858
2003,226,5777,0.4551,0.0508,0.116,0.4368,0.1169,0,0.580318379160637
2003,243,5398,0.3614,0.0424,0.1133,0.3316,0.0991,0,0.490672061137334
2003,270,5124,0.3673,0.0561,0.1383,0.3453,0.1113,0,0.428039702233251
2003,279,4159,0.2995,0.0702,0.1918,0.3312,0.1366,0,0.266539196940727
2003,302,4520,0.2859,0.046,0.1512,0.3005,0.1134,0,0.330529112242639
2003,320,5459,0.2593,0.0354,0.1181,0.1815,0.0533,0,0.211615487316422
2003,325,4690,0.2259,0.0364,0.1682,0.1865,0.0674,0,0.0515928954045672
2003,345,4586,0.173,0.0306,0.1269,0.1315,0.0488,0,0.0178018575851393
2003,3,4306,0.127,0.0222,0.082,0.0985,0.0392,0,0.0914127423822715
2004,3,4306,0.127,0.0222,0.082,0.0985,0.0392,0,0.0914127423822715
2004,31,4819,0.1592,0.0186,0.1228,0.121,0.0423,0,-0.00738310090237898
2004,40,5690,0.2506,0.028,0.136,0.1722,0.0473,0,0.117456197274497
2004,62,5069,0.2378,0.0357,0.1514,0.1782,0.0583,0,0.0813106796116504
2004,79,6003,0.3474,0.0319,0.1396,0.2623,0.0655,0,0.30529982582732
2004,83,5130,0.3008,0.0354,0.1657,0.2716,0.0874,0,0.242167848159158
2004,101,5235,0.3362,0.0427,0.1837,0.3044,0.0952,0,0.247285392337636
2004,120,4402,0.2156,0.0272,0.1428,0.212,0.0824,0,0.195039458850056
2004,133,3895,0.2452,0.0582,0.2511,0.2709,0.119,0,0.0379310344827587
2004,159,6703,0.3845,0.0296,0.1234,0.2564,0.0506,0,0.350184307530279
2004,168,6763,0.4306,0.0299,0.1171,0.3071,0.0593,0,0.447901933050448
2004,186,6851,0.469,0.0324,0.1002,0.342,0.0639,0,0.546811397557666
2004,202,7142,0.4657,0.0295,0.1047,0.3149,0.0525,0,0.50095328884652
2004,218,6488,0.4223,0.0376,0.1161,0.3015,0.0642,0,0.443965517241379
2004,227,5821,0.3904,0.0429,0.1249,0.3188,0.0842,0,0.437006986702727
2004,243,5748,0.3771,0.0412,0.126,0.3112,0.084,0,0.423604757548033
2004,268,6182,0.466,0.0533,0.1505,0.3565,0.0841,0,0.406311637080868
2004,275,5511,0.4002,0.0595,0.1492,0.3252,0.0941,0,0.370994940978078
2004,298,6207,0.3735,0.0398,0.1231,0.2577,0.0603,0,0.353466386554622
2004,305,6222,0.3506,0.0299,0.1176,0.2525,0.0588,0,0.364496082139962
2004,325,6597,0.4239,0.0363,0.1505,0.2961,0.0607,0,0.32601880877743
2004,337,4991,0.2558,0.0331,0.1426,0.2146,0.0717,0,0.201567749160134
2004,358,4369,0.1674,0.0288,0.1271,0.1368,0.0536,0,0.0367563471011746
2005,8,5156,NA,NA,NA,NA,NA,NA,NA
2005,32,3170,0.1461,0.0413,0.175,0.1674,0.0868,0,-0.022196261682243
2005,37,3336,0.1313,0.0306,0.1218,0.1395,0.0697,0,0.0677382319173364
2005,64,6886,0.4872,0.0281,0.0965,0.3797,0.07,0,0.594708105837883
2005,74,5374,0.2503,0.0293,0.1358,0.1868,0.0562,0,0.158090514569126
2005,90,5169,0.2675,0.0291,0.1175,0.2261,0.072,0,0.316065192083818
2005,104,5857,0.3485,0.0355,0.1632,0.2687,0.0702,0,0.244269506830285
2005,122,4231,0.1835,0.0239,0.1267,0.1759,0.0713,0,0.162590879048249
2005,140,5211,0.3077,0.0351,0.1555,0.2751,0.0866,0,0.277751973989782
2005,154,6785,0.452,0.0441,0.1216,0.2882,0.0552,0,0.406539775500244
2005,165,7172,0.5559,0.0448,0.1518,0.3754,0.0618,0,0.42412746585736
2005,190,7552,0.5909,0.0343,0.1293,0.4117,0.0574,0,0.521996303142329
2005,204,7792,0.5856,0.0354,0.1025,0.3683,0.0457,0,0.564570943075616
2005,213,7656,0.602,0.0354,0.1082,0.4069,0.054,0,0.579887400504756
2005,229,7139,0.5549,0.0359,0.0943,0.4171,0.0696,0,0.631208447399296
2005,243,6141,0.4203,0.0372,0.1007,0.3447,0.0824,0,0.547822182308038
2005,263,5699,0.4291,0.0478,0.1245,0.4045,0.1108,0,0.529300567107751
2005,286,4963,0.3404,0.0423,0.1205,0.3687,0.1241,0,0.507358953393295
2005,289,4812,0.3089,0.0368,0.1121,0.3358,0.1176,0,0.499441839696361
2005,318,3578,0.2231,0.0474,0.171,0.3115,0.1473,0,0.29119170984456
2005,325,4005,0.2654,0.0579,0.1937,0.3112,0.1332,0,0.232719350366409
2005,339,3966,0.2268,0.0541,0.1694,0.2229,0.0963,0,0.136375223043589
2005,357,1195,NA,NA,NA,NA,NA,NA,NA
2006,4,4786,0.1906,0.0252,0.1011,0.1509,0.0532,0,0.197619047619048
2006,22,3782,0.146,0.0318,0.1306,0.1339,0.0604,0,0.0124763705103971
2006,42,5000,0.2875,0.0379,0.1741,0.2559,0.0853,0,0.190232558139535
2006,52,5044,0.2639,0.0335,0.1365,0.2219,0.0731,0,0.23828125
2006,77,7829,0.5084,0.0225,0.0835,0.3212,0.0391,0,0.587348653323449
2006,86,7671,NA,NA,NA,NA,NA,NA,NA
2006,109,8085,0.5436,0.0192,0.083,0.3457,0.0366,0,0.612782831817121
2006,127,8258,0.6759,0.0267,0.097,0.4509,0.043,0,0.645920788465048
2006,129,8035,0.7011,0.038,0.1299,0.4692,0.0511,0,0.56634952428643
2006,152,8517,0.8267,0.0328,0.1271,0.5794,0.0464,0,0.640198159943383
2006,166,8147,0.678,0.0282,0.096,0.4643,0.0474,0,0.657326432268428
