,avg_air_temp,avg_soil_temp,doy,net_rad,year,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,mb_ch4_gf,mb_co2_gf,mb_er,mb_gpp,mb_h,mb_le,wp_bnd1,wp_bnd2,wp_bnd3,wp_bnd7,wp_evi,wp_lswi,wp_ndvi,mb_bnd1,mb_bnd2,mb_bnd3,mb_bnd7,mb_evi,mb_lswi,mb_ndvi,wp_LST.day,wp_LST.night,mb_LST.day,mb_LST.night
19,22.8,22.1,214,178.0,2012,10234.3502171,-252.836770491,151.429411387,-404.266181878,-109.51656236,9254.43304445,22161.5857617,-68.3867889876,582.287425696,-650.674214684,832.066581959,15962.7556615,0.04335,0.3210375,0.020675,0.073575,0.48805,0.627136207142,0.762675,0.0341,0.17355625,0.01535625,0.02990625,0.27603125,0.706571653051,0.67158125,30.52,17.095,27.735,18.4075
20,23.0,22.1,215,176.0,2012,11366.0837972,-247.771537789,146.565002008,-394.336539797,-38.6746152784,9037.33038695,21615.4809408,-76.4521111512,567.37837629,-643.830487441,1233.94581087,15308.2685272,0.0447,0.320325,0.02085,0.07435,0.4825,0.623271031629,0.75575,0.034,0.1735875,0.0151875,0.0303875,0.2761375,0.702639592422,0.6724375,30.53,16.98,27.86,18.275
21,20.7,22.1,216,173.0,2012,11857.6895588,-320.54609015,155.78051098,-476.326601131,545.315018832,9346.74239171,20364.1822662,-248.954401878,471.948585969,-720.902987847,2542.53706778,14246.5818898,0.04605,0.3196125,0.021025,0.075125,0.47695,0.619405856116,0.748825,0.0339,0.17361875,0.01501875,0.03086875,0.27624375,0.698707531793,0.67329375,30.54,16.865,27.985,18.1425
22,17.0,21.5,217,92.0,2012,8191.94854076,-239.71315813,145.999957832,-385.713115962,572.671980965,4305.92078867,13914.4482021,-185.145136307,299.360407954,-484.505544261,1402.33874517,7326.2554542,0.0474,0.3189,0.0212,0.0759,0.4714,0.615540680603,0.7419,0.0338,0.17365,0.01485,0.03135,0.27635,0.694775471164,0.67415,30.55,16.75,28.11,18.01
23,19.1,21.1,218,175.0,2012,7496.96389147,-391.128321065,143.85624021,-534.984561275,1847.74345124,7267.01319995,13914.9482218,-356.82183986,370.299411663,-727.121251523,2946.76335678,9790.21929669,0.04875,0.3181875,0.021375,0.076675,0.46585,0.61167550509,0.734975,0.0337,0.17368125,0.01468125,0.03183125,0.27645625,0.690843410535,0.67500625,30.26,16.8875,27.82,18.0475
24,21.3,21.2,219,172.0,2012,7731.87764606,-320.632994998,143.547584844,-464.180579842,393.892927808,8836.53212902,16364.9151856,-267.28754071,458.738391204,-726.025931914,935.287913162,12573.2060144,0.0501,0.317475,0.02155,0.07745,0.4603,0.607810329577,0.72805,0.0336,0.1737125,0.0145125,0.0323125,0.2765625,0.686911349906,0.6758625,29.97,17.025,27.53,18.085
25,22.9,21.5,220,170.0,2012,7796.26401416,-293.352179741,151.133975572,-444.486155313,-595.736060073,9918.99080313,21302.2509684,-187.709413983,612.075066408,-799.784480391,-1713.30179379,16268.3854328,0.05145,0.3167625,0.021725,0.078225,0.45475,0.603945154064,0.721125,0.0335,0.17374375,0.01434375,0.03279375,0.27666875,0.682979289277,0.67671875,29.68,17.1625,27.24,18.1225
26,24.5,21.6,221,169.0,2012,6887.8557361,-289.736074409,131.967161344,-421.703235753,-375.268366113,9626.31057967,19560.5833229,-44.1438568487,556.385350135,-600.529206984,-2058.51489044,15289.9697768,0.0528,0.31605,0.0219,0.079,0.4492,0.600079978551,0.7142,0.0334,0.173775,0.014175,0.033275,0.276775,0.679047228648,0.677575,29.39,17.3,26.95,18.16
27,25.4,21.9,222,168.0,2012,7120.97689163,-281.482417881,124.666622802,-406.149040683,-479.615290271,9679.7900846,20445.6529609,-89.9399289784,562.298358169,-652.238287147,-2078.4899124,14917.2297845,0.05415,0.3153375,0.022075,0.079775,0.44365,0.596214803038,0.707275,0.0333,0.17380625,0.01400625,0.03375625,0.27688125,0.675115168018,0.67843125,29.1,17.4375,26.66,18.1975
28,26.1,22.3,223,167.0,2012,6990.58079557,-279.443914497,125.890464365,-405.334378862,-659.876043214,9624.80402996,23163.5924155,-42.8485006975,631.12312553,-673.971626227,-1971.38768675,17512.8962451,0.0555,0.314625,0.02225,0.08055,0.4381,0.592349627525,0.70035,0.0332,0.1738375,0.0138375,0.0342375,0.2769875,0.671183107389,0.6792875,28.81,17.575,26.37,18.235
29,25.4,22.3,224,166.0,2012,7996.98439689,-268.222207937,125.415195144,-393.637403081,-552.982002112,9175.29801704,18466.8960388,-10.9048863854,485.341996284,-496.246882669,-397.092281433,13530.9328715,0.05685,0.3139125,0.022425,0.081325,0.43255,0.588484452012,0.693425,0.0331,0.17386875,0.01366875,0.03471875,0.27709375,0.66725104676,0.68014375,28.52,17.7125,26.08,18.2725
30,24.5,22.4,225,162.0,2012,8432.59573908,-318.906629734,133.761011288,-452.667641023,-547.308066595,10167.1508557,21169.5492569,-143.434038224,552.359232686,-695.79327091,-2.97978272026,15615.5876794,0.0582,0.3132,0.0226,0.0821,0.427,0.584619276499,0.6865,0.033,0.1739,0.0135,0.0352,0.2772,0.663318986131,0.681,28.23,17.85,25.79,18.31
31,27.0,22.4,226,161.0,2012,8885.70652459,-263.08821001,134.099883447,-397.188093457,-1387.88693194,10342.9993465,21771.8045763,-114.452494311,598.387674888,-712.840169199,-1961.74940191,18129.6833097,0.05835,0.311675,0.0227375,0.0821875,0.424625,0.58254538504,0.6844125,0.03324375,0.17483125,0.0138,0.03516875,0.27851875,0.664954390661,0.6805,28.19,17.625,25.73,18.175
32,24.3,22.4,227,140.0,2012,11837.3742747,-285.212359813,150.652840401,-435.865200215,-1692.2465758,10264.2402595,19365.5653186,-71.246330084,536.227144149,-607.473474233,-1279.24354178,14861.0822812,0.0585,0.31015,0.022875,0.082275,0.42225,0.580471493582,0.682325,0.0334875,0.1757625,0.0141,0.0351375,0.2798375,0.666589795191,0.68,28.15,17.4,25.67,18.04
33,21.2,22.0,228,163.0,2012,13363.4399121,-315.853459148,154.177378499,-470.030837648,528.365085919,9611.91086633,15995.2746014,-235.116876526,408.143612324,-643.26048885,1808.32985975,12851.5311954,0.05865,0.308625,0.0230125,0.0823625,0.419875,0.578397602123,0.6802375,0.03373125,0.17669375,0.0144,0.03510625,0.28115625,0.668225199721,0.6795,28.11,17.175,25.61,17.905
34,21.6,21.7,229,162.0,2012,14202.8743171,-314.585597879,157.081944003,-471.667541882,-246.531678678,9529.26275754,16920.4168265,-190.08568954,458.617697515,-648.703387054,706.164827272,12435.3062596,0.0588,0.3071,0.02315,0.08245,0.4175,0.576323710665,0.67815,0.033975,0.177625,0.0147,0.035075,0.282475,0.669860604252,0.679,28.07,16.95,25.55,17.77
