"YR","LC.IGBP.1","LC.IGBP.2","LC.UMD","LC.LAI","LC.NPP","LC.PFT"
2001,"CVM","CRO","CRO","B-CRO","ABV","B-CRO"
2002,"CVM","CRO","CRO","GRA-CRO","AGV","C-CRO"
2003,"CVM","CRO","CRO","GRA-CRO","AGV","C-CRO"
2004,"CVM","WSA","WSA","SAV","DBV","DBF"
2005,"CVM","CRO","CRO","GRA-CRO","AGV","C-CRO"
2006,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2007,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2008,"CVM","CRO","CRO","GRA-CRO","AGV","C-CRO"
2009,"CVM","GRA","GRA","GRA-CRO","AGV","GRA"
