"YR","DOY","LST.day","LST.night","QC.day","QC.night"
2001,1,14.21,-0.20999999999998,0,0
2001,9,11.2500000000001,NA,0,65
2001,17,14.5700000000001,-0.609999999999957,0,0
2001,25,12.11,0.890000000000043,0,0
2001,33,15.23,2.97000000000003,0,0
2001,41,17.05,1.83000000000004,0,0
2001,49,NA,4.11000000000001,65,0
2001,57,16.45,4.93000000000001,0,0
2001,65,20.45,6.65000000000003,0,0
2001,73,21.83,9.59000000000003,0,0
2001,81,23.71,10.59,0,0
2001,89,24.7500000000001,NA,0,65
2001,97,22.31,5.71000000000004,0,0
2001,105,NA,7.27000000000004,65,0
2001,113,33.1300000000001,11.49,0,0
2001,121,36.33,13.21,0,0
2001,129,40.23,NA,0,65
2001,137,39.61,17.67,0,0
2001,145,38.01,16.01,0,0
2001,153,36.65,15.93,0,0
2001,161,39.29,NA,0,65
2001,177,NA,NA,2,2
2001,185,28.93,16.95,0,0
2001,193,27.85,14.39,0,0
2001,201,28.65,15.1900000000001,0,0
2001,209,28.37,15.93,0,0
2001,217,27.99,16.93,0,0
2001,225,29.15,15.29,0,0
2001,233,30.03,18.7500000000001,0,0
2001,241,30.23,16.1300000000001,0,0
2001,249,27.55,15.67,0,0
2001,257,28.11,15.41,0,0
2001,265,26.53,NA,0,65
2001,273,27.67,15.43,0,0
2001,281,24.83,11.05,0,0
2001,289,23.21,11.7500000000001,0,0
2001,297,NA,8.69000000000005,65,0
2001,305,20.77,6.83000000000004,0,0
2001,313,17.85,NA,0,65
2001,321,16.81,NA,0,65
2001,329,12.5700000000001,2.33000000000004,0,0
2001,337,12.1300000000001,4.07000000000005,0,0
2001,345,12.93,3.69000000000005,0,0
2001,353,NA,NA,2,65
2001,361,NA,NA,2,2
2002,1,NA,NA,65,65
2002,9,12.6900000000001,2.69000000000005,0,0
2002,17,11.81,NA,0,65
2002,25,11.5700000000001,-1.30999999999995,0,0
2002,33,14.39,1.21000000000004,0,0
2002,41,17.97,4.89000000000004,0,0
2002,49,16.81,7.69000000000005,0,0
2002,57,17.71,5.55000000000001,0,0
2002,65,NA,2.13000000000005,65,0
2002,73,15.59,NA,0,65
2002,81,26.45,11.03,0,0
2002,89,25.85,11.67,0,0
2002,97,28.29,11.55,0,0
2002,105,28.73,8.09000000000003,0,0
2002,113,NA,9.55000000000001,65,0
2002,121,30.5700000000001,10.79,0,0
2002,129,32.95,11.87,0,0
2002,137,31.1300000000001,11.15,0,0
2002,145,36.21,14.93,0,0
2002,153,37.93,16.95,0,0
2002,161,35.35,15.15,0,0
2002,169,36.1300000000001,15.77,0,0
2002,177,34.77,18.11,0,0
2002,185,36.17,19.27,0,0
2002,193,30.95,16.6300000000001,0,0
2002,201,29.49,16.77,0,0
2002,209,26.31,15.79,0,0
2002,217,30.61,17.37,0,0
2002,225,27.5700000000001,16.6900000000001,0,0
2002,233,27.85,15.77,0,0
2002,241,29.5700000000001,16.59,0,0
2002,249,28.45,15.37,0,0
2002,257,28.09,16.09,0,0
2002,265,29.71,17.0700000000001,0,0
2002,273,26.77,12.01,0,0
2002,281,26.0700000000001,12.43,0,0
2002,289,22.93,10.95,0,0
2002,297,22.67,7.11000000000001,0,0
2002,305,NA,4.05000000000001,65,0
2002,313,NA,NA,65,65
2002,321,NA,6.05000000000001,65,0
2002,329,16.47,1.61000000000001,0,0
2002,337,16.67,2.29000000000002,0,0
2002,345,NA,NA,65,65
2002,353,11.03,3.11000000000001,0,0
