"YR","LC.IGBP.1","LC.IGBP.2","LC.UMD","LC.LAI","LC.NPP","LC.PFT"
2001,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2002,"CRO","CSH","CRO","B-CRO","ABV","B-CRO"
2003,"CRO","EBF","CRO","B-CRO","ABV","B-CRO"
2004,"CRO","EBF","CRO","B-CRO","ABV","B-CRO"
2005,"CRO","CVM","CRO","GRA-CRO","AGV","C-CRO"
2006,"CRO","CVM","CRO","B-CRO","ABV","B-CRO"
2007,"CRO","SAV","CRO","B-CRO","ABV","B-CRO"
2008,"CRO","CSH","CRO","B-CRO","ABV","B-CRO"
2009,"CRO","GRA","CRO","GRA-CRO","AGV","C-CRO"
